Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column,Lemmatized_Column,Final_cleaned
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key - Non-Encrypted systems - Bitlocker - Istanbul TRISTN0277 or TRISTN03409 ,Y,29-09-2022,Incident,hardware issue  laptop  bitlocker key  none,hardware issue   laptop   bitlocker key   none,hardware issue laptop bitlocker key
AM,,India,Deskside,Managed Security Services reproted a Security Incident for User  EU\Bogdan.Blendea for executing a supicious process on ROBUCN0129 ,Y,16-11-2022,Incident,managed security services reproted a security i,manage security service reprote a security I,manage security service reprote
AP,M365,Hong Kong,Deskside,Microsoft Teams - update MS Teams dial in number to English version,Y,23-11-2022,Incident,microsoft teams  update ms teams dial in numbe,microsoft team   update ms team dial in numbe,microsoft team update ms team dial
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                          hardware troubleshooting,                           hardware troubleshooting,
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key,Y,05-10-2022,Incident,           hardware issue  laptop  bitlocker key,            hardware issue   laptop   bitlocker key,hardware issue laptop bitlocker key
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,21-09-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AP,,Sri Lanka,Deskside,Application Issues,Y,27-09-2022,Incident,                                application issues,                                 application issue,application issue
AP,,Sri Lanka,Deskside,Application Configuration,Y,27-09-2022,Incident,                         application configuration,                          application configuration,application configuration
AM,Laptop,India,Deskside,Hardware Issue - Laptop,Y,05-10-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-11-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,07-11-2022,Incident,               hardware issue  laptop performance,                hardware issue   laptop performance,hardware issue laptop performance
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery,Y,07-11-2022,Incident,                   hardware issue  laptop battery,                    hardware issue   laptop battery,hardware issue laptop battery
AM,Hardware,United States,Deskside,Hardware Issue - Docking Station(does not supply full power),Y,03-02-2023,Incident,hardware issue  docking stationdoes not suppl,hardware issue   docking stationdoe not suppl,hardware issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,03-02-2023,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Windows / OS,United States,Deskside,Windows 10 - Issues ,Y,08-09-2022,Incident,                              windows 10  issues ,                               window 10   issue,
AM,,India,Deskside,Encryption missing on the attached systems,Y,22-09-2022,Incident,        encryption missing on the attached systems,         encryption miss on the attached system,
AM,M365,United States,Deskside,Azuresynapce - Microsoft Integration Runtime,Y,22-09-2022,Incident,      azuresynapce  microsoft integration runtime,       azuresynapce   microsoft integration runtime,azuresynapce microsoft integration runtime
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                          hardware troubleshooting,                           hardware troubleshooting,
EMEA,Laptop,Spain,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,16-01-2023,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
EMEA,,Slovakia,Deskside,Reported Issue - Application - OneDrive,Y,16-02-2023,Incident,           reported issue  application  onedrive,            report issue   application   onedrive,report issue application onedrive
AP,Email,India,Deskside,Outlook - Outlook update issue,Y,12-09-2022,Incident,                    outlook  outlook update issue,                     outlook   outlook update issue,outlook outlook update issue
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                          hardware troubleshooting,                           hardware troubleshooting,
AM,Laptop,United States,Deskside,Hardware Issue - Laptop running slow,Y,17-09-2022,Incident,              hardware issue  laptop running slow,               hardware issue   laptop run slow,hardware issue laptop run
AM,Network,United States,Deskside,Reported Issue - Network - WiFi,Y,15-09-2022,Incident,                   reported issue  network  wifi,                    report issue   network   wifi,report issue network wifi
EMEA,Network,Spain,Deskside,Reported Issue - Network - Other,Y,16-01-2023,Incident,                  reported issue  network  other,                   report issue   network   other,report issue network
AP,Windows / OS,Sri Lanka,Deskside,Windows Troubleshooting,Y,27-09-2022,Incident,                           windows troubleshooting,                            window troubleshooting,
AM,,India,Deskside,EU Non Encrypted machines,Y,15-12-2022,Incident,                         eu non encrypted machines,                          eu non encrypt machine,eu non encrypt machine
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,13-09-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Office,Y,01-09-2022,Incident,   reported issue  application  microsoft office,    report issue   application   microsoft office,report issue application microsoft office
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,15-02-2023,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,05-10-2022,Incident,        hardware issue  eu non encrypted machines,         hardware issue   eu non encrypt machine,hardware issue eu non encrypt machine
AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,21-09-2022,Incident,        hardware issue  eu non encrypted machines,         hardware issue   eu non encrypt machine,hardware issue eu non encrypt machine
AM,Laptop,United States,Deskside,Michael Hartnett - JLL Hardware Issue - Laptop Loaner required,Y,01-11-2022,Incident,michael hartnett  jll hardware issue  laptop ,michael hartnett   jll hardware issue   laptop,michael hartnett jll hardware issue laptop
AP,,Singapore,Deskside,Application Issue - Asure Resource Scheduler,Y,03-10-2022,Incident,      application issue  asure resource scheduler,       application issue   asure resource scheduler,application issue asure resource scheduler
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,15-09-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Access,United States,Deskside,Resource Schedule --  Access issues,Y,11-01-2023,Incident,               resource schedule   access issues,                resource schedule    access issue,resource schedule access issue
AM,,United States,Deskside,Excel -  Issues,Y,25-10-2022,Incident,                                   excel   issues,                                    excel    issue,excel issue
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,25-11-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AP,,India,Deskside,EU Unencrypted Machines July 4 2022,Y,16-02-2023,Incident,               eu unencrypted machines july 4 2022,                eu unencrypted machine july 4 2022,
AM,Active Directory,United States,Deskside,BAC Compliance Checking at Login,Y,06-09-2022,Incident,                  bac compliance checking at login,                   bac compliance check at login,bac compliance check
AM,Windows / OS,United States,Deskside,"Windows 10 - ""There Are Currently No Power Options Available"" Error",Y,01-09-2022,Incident,windows 10  there are currently no power opti,window 10   there be currently no power opti,power opti
AM,Hardware,United States,Deskside,Hardware - Wrong shipping address,Y,21-09-2022,Incident,                 hardware  wrong shipping address,                  hardware   wrong shipping address,wrong shipping address
AM,Laptop,United States,Deskside,URGENT - Hardware Issue - Laptop (access),Y,07-11-2022,Incident,         urgent  hardware issue  laptop access,          urgent   hardware issue   laptop access,urgent hardware issue laptop access
AM,,United States,Deskside,AM - JLL RATA Comply - Update Version 21.1 Admin Assistance - USLILVMPRDSQL16,Y,01-09-2022,Incident,am  jll rata comply  update version 211 admi,be   jll rata comply   update version 211 admi,jll rata update version
AM,,United States,Deskside,NO CCM INSTALLED AT ALL,Y,21-11-2022,Incident,                           no ccm installed at all,                            no ccm instal at all,ccm instal
AM,Network,United States,Deskside,Reported Issue - Network - Other,Y,11-01-2023,Incident,                  reported issue  network  other,                   report issue   network   other,report issue network
AP,,South Korea,Deskside,Reported Issue - Other / Miscellaneous,Y,01-02-2023,Incident,            reported issue  other  miscellaneous,             report issue   other   miscellaneous,report issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop screen is cracked / the crack is expanding ,Y,19-10-2022,Incident,hardware issue  laptop screen is cracked  the,hardware issue   laptop screen be crack   the,hardware issue laptop screen
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,22-09-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,26-12-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Access,United States,Deskside,Box - Install and access Issue,Y,02-09-2022,Incident,                    box  install and access issue,                     box   install and access issue,box install access issue
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop HF5R473 to HJ6RXD3 ,Y,20-09-2022,Incident,reported issue  hardware  laptop_desktop hf5r,report issue   hardware   laptop_desktop hf5r,report issue hardware laptop_desktop hf5r
AM,M365,United States,Deskside, IRV - MS Teams / Telecom  Voice Calling- Issues - Paula Paredes,Y,20-01-2023,Incident, irv  ms teams  telecom  voice calling issue,  irv   ms team   telecom   voice call issue,irv ms team telecom voice
AP,,Australia,Deskside,Application Issue - OneDrive Not Opening,Y,29-11-2022,Incident,          application issue  onedrive not opening,           application issue   onedrive not open,application issue onedrive
AM,,United States,Deskside,Dell docking stations box equipment INC1049111 as reference,Y,14-11-2022,Incident,dell docking stations box equipment inc1049111 ,dell docking stations box equipment inc1049111,stations box equipment inc1049111
AM,,Canada,Deskside,JLL Sharepoint Excel File permissions,Y,16-09-2022,Incident,             jll sharepoint excel file permissions,              jll sharepoint excel file permission,jll sharepoint excel file permission
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-11-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,01-12-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AM,,United States,Deskside,WebEx Meetings - Meeting / Disable the lobby in the personal room,Y,28-09-2022,Incident,webex meetings  meeting  disable the lobby in,webex meeting   meeting   disable the lobby in,webex meeting meeting
AM,,United States,Deskside,Steve Sinisi - Google Chrome - Issues After Update,Y,02-11-2022,Incident,steve sinisi  google chrome  issues after update,steve sinisi   google chrome   issue after update,steve sinisi google chrome issue
AM,Laptop,United States,Deskside,(Hard-Down) Reported Issue - Hardware - Laptop_Desktop,Y,24-10-2022,Incident,harddown reported issue  hardware  laptop_,harddown report issue   hardware   laptop _,harddown report issue hardware laptop _
AM,Laptop,United States,Deskside,Donna Whitney-Reported Issue - Hardware - Laptop_Desktop,Y,18-10-2022,Incident,donna whitneyreported issue  hardware  lapto,donna whitneyreporte issue   hardware   lapto,donna whitneyreporte issue hardware lapto
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,28-09-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                          hardware troubleshooting,                           hardware troubleshooting,
AP,Email,Bangladesh,Deskside,Email Issues,Y,15-09-2022,Incident,                                      email issues,                                       email issue,email issue
AM,Hardware,United States,Deskside,Hardware Issue - Monitor are not connecting to the Docking station / Monitors are not detected,Y,14-10-2022,Incident,hardware issue  monitor are not connecting to ,hardware issue   monitor be not connect to,hardware issue monitor
AM,,United States,Deskside,Reported Issue - Application - Alteryx,Y,04-10-2022,Incident,            reported issue  application  alteryx,             report issue   application   alteryx,report issue application alteryx
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,08-09-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AM,Laptop,United States,Deskside,Laptop issues - Performance,Y,08-09-2022,Incident,                       laptop issues  performance,                        laptop issue   performance,laptop issue performance
AM,,United States,Deskside,"Tom Bondor - CITRIX Receiver   - Error: ""Account is not configured""",Y,20-09-2022,Incident,tom bondor  citrix receiver    error accoun,tom bondor   citrix receiver     error accoun,tom bondor citrix receiver error accoun
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (Power button),Y,19-09-2022,Incident,            hardware issue  laptop power button,             hardware issue   laptop power button,hardware issue laptop power button
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Audio issue,Y,05-09-2022,Incident,           jll hardware issue  laptop audio issue,            jll hardware issue   laptop audio issue,jll hardware issue laptop audio issue
AM,,United States,Deskside,Vpn - Disconnect constantly,Y,08-11-2022,Incident,                       vpn  disconnect constantly,                        vpn   disconnect constantly,vpn disconnect
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,21-09-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Repair Assistance,Y,22-11-2022,Incident,     jll hardware issue  laptop repair assistance,      jll hardware issue   laptop repair assistance,jll hardware issue laptop repair assistance
AM,Laptop,Canada,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,19-09-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,22-09-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AM,Active Directory,United States,Deskside,Software Issues - IT monitor issues.,Y,16-09-2022,Incident,              software issues  it monitor issues,               software issue   it monitor issue,software issue monitor issue
AM,Hardware,Canada,Deskside,Reported Issue - Hardware - Monitor,Y,05-10-2022,Incident,               reported issue  hardware  monitor,                report issue   hardware   monitor,report issue hardware monitor
AM,Laptop,United States,Deskside,Adam Bargar - Hardware Issue - Laptop Battery Issues.,Y,02-11-2022,Incident,adam bargar  hardware issue  laptop battery i,adam bargar   hardware issue   laptop battery I,adam bargar hardware issue laptop battery
AP,,Australia,Deskside,Reported Issue - Application - Adobe Sign,Y,21-09-2022,Incident,         reported issue  application  adobe sign,          report issue   application   adobe sign,report issue application adobe
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,07-09-2022,Incident,              hardware issue  laptop not starting,               hardware issue   laptop not start,hardware issue laptop
AM,Windows / OS,United States,Deskside,Windows  -  The message still popping up / Hard drive issue,Y,15-09-2022,Incident,windows    the message still popping up  hard,window     the message still pop up   hard,
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,16-09-2022,Incident,              hardware issue  laptop not starting,               hardware issue   laptop not start,hardware issue laptop
AM,M365,United States,Deskside,Office 365 -License Upgrade.,Y,19-09-2022,Incident,                      office 365 license upgrade,                       office 365 license upgrade,license upgrade
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (Fan broken),Y,14-10-2022,Incident,              hardware issue  laptop fan broken,               hardware issue   laptop fan break,hardware issue laptop fan
AP,M365,India,Deskside,Application Issues,Y,15-09-2022,Incident,                                application issues,                                 application issue,application issue
AP,,India,Deskside,Application Issues,Y,28-09-2022,Incident,                                application issues,                                 application issue,application issue
AM,,United States,Deskside,"MULTIPLE FILES NOW SAY CORRUPT IN ONEDRIVE ""JLL Excel File unreadable""",Y,15-09-2022,Incident,multiple files now say corrupt in onedrive jll,multiple file now say corrupt in onedrive jll,multiple file onedrive jll
AM,Laptop,United States,Deskside,Chris Johnson-JLL Hardware Issue - Laptop Bad Performance - Replacement approval required,Y,05-09-2022,Incident,chris johnsonjll hardware issue  laptop bad p,chris johnsonjll hardware issue   laptop bad p,chris johnsonjll hardware issue laptop bad p
AM,,United States,Deskside,Reported Issue - Other / Miscellaneous,Y,27-09-2022,Incident,            reported issue  other  miscellaneous,             report issue   other   miscellaneous,report issue
AM,Laptop,United States,Deskside,CapitalMarkets - Replacement Laptop for Producer |  Dell 7420 ST 4M5N5M3 | Deployed,Y,08-09-2022,Incident,capitalmarkets  replacement laptop for produce,capitalmarket   replacement laptop for produce,capitalmarket replacement laptop
AP,,India,Deskside,Application Issues,Y,12-09-2022,Incident,                                application issues,                                 application issue,application issue
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,05-09-2022,Incident,                          hardware troubleshooting,                           hardware troubleshooting,
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,28-09-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AM,Laptop,United States,Deskside,Software Issues -  New laptop issues.,Y,07-09-2022,Incident,             software issues   new laptop issues,              software issue    new laptop issue,software issue new laptop issue
AM,Laptop,United States,Deskside,Tate Wallace - Hardware Issue - Laptop Issues.,Y,02-11-2022,Incident,    tate wallace  hardware issue  laptop issues,     tate wallace   hardware issue   laptop issue,tate wallace hardware issue laptop issue
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,19-10-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AM,Laptop,United States,Deskside,Troy Green - Hardware Issue - Laptop,Y,11-10-2022,Incident,              troy green  hardware issue  laptop,               troy green   hardware issue   laptop,troy green hardware issue laptop
AM,Laptop,United States,Deskside,Nima Govind - Hardware Issue - Laptop keyboard and mouse issues.,Y,02-11-2022,Incident,nima govind  hardware issue  laptop keyboard ,nima govind   hardware issue   laptop keyboard,nima govind hardware issue laptop keyboard
AM,,United States,Deskside,Reported Issue - Application - Adobe Acrobat Pro,Y,19-09-2022,Incident,  reported issue  application  adobe acrobat pro,   report issue   application   adobe acrobat pro,report issue application adobe acrobat
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-10-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AP,Laptop,Hong Kong,Deskside,Hardware Issue - Laptop monitor - [Alex],Y,14-09-2022,Incident,          hardware issue  laptop monitor  alex,           hardware issue   laptop monitor   alex,hardware issue laptop monitor alex
AP,,Australia,Deskside,For the site AUPER02(Perth) file server idrac (10.132.24.196) in unavailable.,Y,08-09-2022,Incident,for the site auper02perth file server idrac ,for the site auper02perth file server idrac,site auper02perth file server idrac
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery Issues.,Y,26-09-2022,Incident,           hardware issue  laptop battery issues,            hardware issue   laptop battery issue,hardware issue laptop battery issue
AM,Network,United States,Deskside,Reported Issue - Network - WiFi,Y,17-10-2022,Incident,                   reported issue  network  wifi,                    report issue   network   wifi,report issue network wifi
AM,Laptop,United States,Deskside,Hardware Issue - Laptop / Power Off and Restart options are not available. ,Y,07-09-2022,Incident,hardware issue  laptop  power off and restart,hardware issue   laptop   power off and restart,hardware issue laptop power
AM,Windows / OS,United States,Deskside,Mac - Computer Issues JLLNET2.0 WiFi,Y,14-09-2022,Incident,              mac  computer issues jllnet20 wifi,               mac   computer issue jllnet20 wifi,mac computer issue jllnet20 wifi
AM,,Canada,Deskside,Bomgar -  The user's computer does not appear on the system,Y,15-09-2022,Incident,bomgar   the users computer does not appear o,bomgar    the user computer do not appear o,user computer
AM,Email,United States,Deskside,JLL Outlook mail search issue,Y,23-09-2022,Incident,                     jll outlook mail search issue,                      jll outlook mail search issue,jll outlook search issue
AP,Email,Singapore,Deskside,Remove deskside user email,Y,12-09-2022,Incident,                        remove deskside user email,                         remove deskside user email,deskside user email
AP,,India,Deskside,Application Issues,Y,02-09-2022,Incident,                                application issues,                                 application issue,application issue
AP,,India,Deskside,Application  issue,Y,02-09-2022,Incident,                                application  issue,                                 application   issue,application issue
AM,Laptop,United States,Deskside,Lauren Slonceski - Hardware Issue - Laptop,Y,20-10-2022,Incident,        lauren slonceski  hardware issue  laptop,         lauren slonceski   hardware issue   laptop,lauren slonceski hardware issue laptop
AM,Network,United States,Deskside,Internet - Network connectivity issues,Y,11-12-2022,Incident,            internet  network connectivity issues,             internet   network connectivity issue,internet network connectivity issue
AM,Hardware,United States,Deskside,Diane Sierts - Hardware issues - Blue screen ,Y,02-11-2022,Incident,     diane sierts  hardware issues  blue screen ,      diane siert   hardware issue   blue screen,diane siert hardware issue blue screen
AM,,United States,Deskside,JLL Crowdstrike two unsanctioned EDR solutions - Reimage,Y,16-09-2022,Incident,jll crowdstrike two unsanctioned edr solutions ,jll crowdstrike two unsanctioned edr solution,jll crowdstrike edr solution
AM,Hardware,United States,Deskside,Hardware -   06B03 Rio Grande Conference Room is having issues with having issues with speakers,Y,04-10-2022,Incident,hardware    06b03 rio grande conference room i,hardware     06b03 rio grande conference room I,rio grande conference room
AP,,India,Deskside,Hardward Troubleshooting,Y,06-09-2022,Incident,                          hardward troubleshooting,                           hardward troubleshooting,
AP,Windows / OS,India,Deskside,Windows Troubleshooting,Y,12-09-2022,Incident,                           windows troubleshooting,                            window troubleshooting,
AM,Windows / OS,United States,Deskside,Hardware Issue - Monitor- Computer Issues - Windows Icon / File Explorer,Y,12-10-2022,Incident,hardware issue  monitor computer issues  win,hardware issue   monitor computer issue   win,hardware issue monitor computer issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop-  Error : Your computer has been infected,Y,29-09-2022,Incident,hardware issue  laptop  error  your computer,hardware issue   laptop   error   your computer,hardware issue laptop error
AM,Email,United States,Deskside,JLL mac device Teams group outlook calendar sync,Y,06-09-2022,Incident,  jll mac device teams group outlook calendar sync,   jll mac device team group outlook calendar sync,jll mac device team group outlook calendar sync
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery.,Y,01-09-2022,Incident,                  hardware issue  laptop battery,                   hardware issue   laptop battery,hardware issue laptop battery
AM,Network,United States,Deskside,Off network issues ,Y,07-09-2022,Incident,                               off network issues ,                                off network issue,network issue
AP,Active Directory,Australia,Deskside,Frequent Lock Out,Y,06-09-2022,Incident,                                 frequent lock out,                                  frequent lock out,frequent lock
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,13-09-2022,Incident,                          hardware troubleshooting,                           hardware troubleshooting,
AM,,United States,Deskside,(STR1) ScanSafe Proxy - Blocked sites information,Y,02-09-2022,Incident, str1 scansafe proxy  blocked sites information,  str1 scansafe proxy   block site information,str1 scansafe proxy block site information
AM,Laptop,Canada,Deskside,Hardware Issue - Laptop,Y,01-12-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,,United States,Deskside,Black Screen,Y,02-09-2022,Incident,                                      black screen,                                       black screen,black screen
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop GENERAL issues - Replacement required,Y,01-09-2022,Incident,jll hardware issue  laptop general issues  re,jll hardware issue   laptop general issue   re,jll hardware issue laptop general issue re
AM,,United States,Deskside,Bluebeam -  Application issues,Y,20-09-2022,Incident,                    bluebeam   application issues,                     bluebeam    application issue,bluebeam application issue
AM,Laptop,United States,Deskside,Laptop - Audio,Y,17-09-2022,Incident,                                    laptop  audio,                                     laptop   audio,laptop audio
AP,M365,Hong Kong,Deskside,APAC - Application Issue - Excel function,Y,29-09-2022,Incident,         apac  application issue  excel function,          apac   application issue   excel function,apac application issue excel function
AM,Laptop,United States,Deskside,Jacques Mooney - Hardware Issue - Laptop (Internal system),Y,01-09-2022,Incident,jacques mooney  hardware issue  laptop inter,jacques mooney   hardware issue   laptop inter,jacques mooney hardware issue laptop inter
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting - Windows - Laptop Booting to Blank/Black Screen,Y,07-09-2022,Incident,hardware issue  laptop not starting  windows ,hardware issue   laptop not start   window,hardware issue laptop
AM,Laptop,United States,Deskside,Laptop Refresh - (Blake Shaffer - Service Tag: 891M0F3,Y,07-09-2022,Incident,laptop refresh  blake shaffer  service tag ,laptop refresh   blake shaffer   service tag,laptop refresh blake shaffer service tag
AM,,Canada,Deskside,Reported Issue - Other / Miscellaneous,Y,13-09-2022,Incident,            reported issue  other  miscellaneous,             report issue   other   miscellaneous,report issue
AM,Email,United States,Deskside,Kalia Keith - Email - Other reported,Y,13-10-2022,Incident,              kalia keith  email  other reported,               kalia keith   email   other report,kalia keith email
AM,,United States,Deskside,Hali Voycik - JLL  Bluebeam  Assistance required,Y,02-11-2022,Incident,  hali voycik  jll  bluebeam  assistance required,   hali voycik   jll   bluebeam   assistance require,hali voycik jll bluebeam assistance
AM,Email,United States,Deskside,INC1080050 Outlook - Calendar issues,Y,06-09-2022,Incident,              inc1080050 outlook  calendar issues,               inc1080050 outlook   calendar issue,inc1080050 outlook calendar issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop various (memory and hardware),Y,29-09-2022,Incident,hardware issue  laptop various memory and har,hardware issue   laptop various memory and har,hardware issue laptop various memory
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,09-09-2022,Incident,               hardware issue  laptop performance,                hardware issue   laptop performance,hardware issue laptop performance
AM,,United States,Deskside,Adobe Acrobat Pro - Application issues.,Y,01-09-2022,Incident,           adobe acrobat pro  application issues,            adobe acrobat pro   application issue,adobe acrobat pro application issue
AM,Laptop,United States,Deskside,Laptop Replacement,Y,07-09-2022,Incident,                                laptop replacement,                                 laptop replacement,laptop replacement
AP,,Philippines,Deskside,Reported Issue - Application - Excel (desktop),Y,01-09-2022,Incident,    reported issue  application  excel desktop,     report issue   application   excel desktop,report issue application excel desktop
AM,Email,United States,Deskside,Email - Outlook not syncing - Application Crashing on MAC computer. ,Y,20-09-2022,Incident,email  outlook not syncing  application crash,email   outlook not sync   application crash,email outlook sync application crash
AM,Laptop,United States,Deskside,Doug Rowles - Laptop is freezing up,Y,10-10-2022,Incident,               doug rowles  laptop is freezing up,                doug rowle   laptop be freeze up,doug rowle laptop
AM,,United States,Deskside,Reported Issue - Server - Other,Y,09-09-2022,Incident,                   reported issue  server  other,                    report issue   server   other,report issue server
AM,Network,United States,Deskside,Internet - Network connectivity issues,Y,07-11-2022,Incident,            internet  network connectivity issues,             internet   network connectivity issue,internet network connectivity issue
AM,Network,Canada,Deskside,Network Account - Off Network Computer Login Issue,Y,20-09-2022,Incident,network account  off network computer login issue,network account   off network computer login issue,network account network computer login issue
AM,Hardware,Canada,Deskside,Hardware - Monitor  damaged on arrival,Y,28-10-2022,Incident,            hardware  monitor  damaged on arrival,             hardware   monitor   damage on arrival,hardware monitor damage
AM,M365,United States,Deskside,Microsoft Teams - Audio is not working,Y,21-09-2022,Incident,            microsoft teams  audio is not working,             microsoft team   audio be not work,microsoft team audio
AM,M365,United States,Deskside,Microsoft Teams - Background issues.,Y,06-09-2022,Incident,              microsoft teams  background issues,               microsoft team   background issue,microsoft team background issue
AM,,United States,Deskside,Zoom - Issues,Y,05-09-2022,Incident,                                     zoom  issues,                                      zoom   issue,zoom issue
AP,Hardware,Australia,Deskside,Reported Issue - Hardware - Monitor,Y,05-09-2022,Incident,               reported issue  hardware  monitor,                report issue   hardware   monitor,report issue hardware monitor
AM,,United Kingdom,Deskside, I no longer have r-click>New Folder option in Explorer,Y,20-09-2022,Incident, i no longer have rclicknew folder option in ,  I no long have rclicknew folder option in,rclicknew folder option
AP,,India,Deskside,Application Issues,Y,12-09-2022,Incident,                                application issues,                                 application issue,application issue
AP,Network,,Deskside,Network Issues,Y,19-09-2022,Incident,                                    network issues,                                     network issue,network issue
AP,Hardware,Hong Kong,Deskside,Hardware Issue - Computer power down isuue,Y,01-09-2022,Incident,        hardware issue  computer power down isuue,         hardware issue   computer power down isuue,hardware issue computer power
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,05-09-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop touckpad issues ,Y,18-01-2023,Incident,      jll hardware issue  laptop touckpad issues ,       jll hardware issue   laptop touckpad issue,jll hardware issue laptop touckpad issue
